spcode,light,block,h1,h2,baseW.a,baseW.b,canW.a,canW.b,tiller.num,tiller1tck.a,tiller1tck.b,tiller2tck.a,tiller2tck.b,tiller3tck.a,tiller3tck.b
elvi3,fs,b5,6.1,41,5.7,6.8,17,18.5,16,2.22,2.29,2.44,2.65,2.44,2.56
elvi3,fs,b5,6.1,41,4.3,5.6,10.5,18,16,2.16,2.35,2.32,2.76,2.28,2.36
poco,fs,b5,2.5,25.2,11,7,12.6,12.6,104,0.94,1.78,0.86,1.97,1.27,3.4
poco,fs,b5,2.5,25.2,10,8.5,12.6,12.6,104,1.27,2.18,1.01,1.87,0.94,3.85
poco,fs,b5,2.5,25.2,9.4,7.1,12.6,12.6,104,0.56,0.91,0.83,2.23,1.18,1.31
pava2,fs,b5,9,45,3.9,3.7,21,19,31,1.68,2.42,2.73,2.52,1.54,1.59
pava2,fs,b5,9,45,3.8,3.6,19,16,31,1.51,1.5,1.34,1.37,1.55,1.7
pava2,fs,b5,9,45,3.5,3.7,26,9,31,1.2,1.22,1.44,1.42,1.14,1.07
nete,s,b5,14.5,14.5,2.2,1.6,12.6,12.6,38,0.34,0.75,0.58,0.69,0.47,0.74
nete,s,b5,14.5,14.5,1.7,1.7,12.6,12.6,38,0.38,0.91,0.29,0.56,0.34,0.94
nete,s,b5,14.5,14.5,1.8,1.5,12.6,12.6,38,0.12,0.51,0.38,0.66,0.31,0.69
ante2,s,b5,5.6,43,3.2,3.8,26,20,20,0.85,5.5,1.81,1.65,2.71,3.21
ante2,s,b5,5.6,43,4.1,3.5,14,18,20,0.77,4.72,1.57,2.59,1.91,2.51
ante2,s,b5,5.6,43,4.1,3.5,25.5,20,20,0.72,3.84,1.35,2.24,2.22,2.19
bogr2,fs,b5,5.4,40,8,6.5,15,21,148,1.17,2.1,1.64,2.17,1.51,2.08
bogr2,fs,b5,5.4,40,8.5,7.5,20,12,148,1.32,2.17,1.12,1.97,1.07,1.29
bogr2,fs,b5,5.4,40,7,8.1,39,23,148,0.66,0.95,0.44,0.95,0.59,0.79
sesc2,s,b5,5.1,38,6.2,6.2,40.5,17,26,1.74,1.92,1.95,1.92,1.7,1.9
sesc2,s,b5,5.1,38,7.5,7,21,13,26,1.49,1.79,1.82,1.93,1.43,1.65
sesc2,s,b5,5.1,38,7,7.5,15,19,26,1.11,1.34,1.65,1.78,1.4,1.45
paha,fs,b5,5.3,83.5,6.1,5.1,53.5,38,57,1.99,2.35,1.76,2.13,2.36,2.63
paha,fs,b5,5.3,83.5,5.1,5.7,45,54,57,1.87,2.25,1.96,2.3,2.46,3.27
paha,fs,b5,5.3,83.5,5.5,5.6,73,38,57,1.68,1.92,1.76,2.04,2.3,2.17
dica8,fs,b5,6.5,63,5.5,5.1,26,43,32,1.18,1.26,1.48,1.5,1.39,1.3
dica8,fs,b5,6.5,63,4.2,5.5,50.5,45,32,1.23,1.26,1.48,1.52,1.33,1.57
dica8,fs,b5,6.5,63,4.7,6.3,52.5,41.5,32,1.11,1.25,1.63,1.68,1.51,1.44
agsc5,s,b5,7.7,18,2.5,2.2,12.6,12.6,53,0.8,1.08,0.66,1.09,0.46,1.22
agsc5,s,b5,7.7,18,2.2,2.1,12.6,12.6,53,0.51,1.3,0.93,1.02,0.38,1.18
agsc5,s,b5,7.7,18,2.5,2.1,12.6,12.6,53,0.48,1.28,0.64,1.07,0.42,0.76
poco,s,b5,9,30,5.5,6.3,12.6,12.6,83,0.74,1.02,0.8,1.8,0.83,1.11
poco,s,b5,9,30,5.6,6.6,12.6,12.6,83,0.36,1.09,1.09,2.08,0.43,1.49
poco,s,b5,9,30,4.9,5.8,12.6,12.6,83,0.93,2.02,1.08,2.13,0.84,1.88
bosa,s,b5,8,48.5,4.6,2.8,104.5,26,33,1.87,1.76,0.92,1.16,0.88,0.92
bosa,s,b5,8,48.5,5.2,3.2,81,33,33,1.48,1.63,0.98,1.11,0.87,1.01
bosa,s,b5,8,48.5,5.9,4.2,46,72,33,1.19,1.32,0.88,1.16,1.03,1.16
feru2,s,b5,6.8,30,2.9,2.2,12.6,12.6,25,0.63,1.15,0.66,0.86,0.58,0.79
feru2,s,b5,6.8,30,3,2.3,12.6,12.6,25,0.24,0.67,0.34,0.65,0.22,0.54
feru2,s,b5,6.8,30,2.8,2.2,12.6,12.6,25,0.22,0.48,0.24,0.68,0.21,0.5
chla5,s,b5,5.1,30,3.2,2.7,12.6,12.6,7,1.92,2.12,2.4,2.14,1.88,2.54
chla5,s,b5,5.1,30,3,2.6,12.6,12.6,7,1.69,1.94,1.8,2.43,2.18,2.5
chla5,s,b5,5.1,30,2.9,3,12.6,12.6,7,1.82,2.47,2.4,2.83,1.76,1.96
agsc5,fs,b5,4,14,2.6,2.8,12.6,12.6,82,1.13,1.52,0.7,0.85,1.46,1.62
agsc5,fs,b5,4,14,3.9,3.6,12.6,12.6,82,0.49,1.09,0.72,1.04,1.01,1.55
agsc5,fs,b5,4,14,4,3.2,12.6,12.6,82,0.75,1.03,0.63,1.08,0.46,1.42
pimi,fs,b5,6.7,41,4,4.5,14,15,116,0.65,0.81,0.73,1,0.73,1.12
pimi,fs,b5,6.7,41,3.7,3.4,13,12,116,0.58,0.91,0.69,0.93,0.7,1.18
pimi,fs,b5,6.7,41,3.8,3.7,11.5,10.5,116,0.64,0.55,0.61,0.81,0.57,0.83
nete,fs,b5,8.3,30,3.2,3.1,12.6,12.6,124,0.61,0.59,0.82,1.25,0.85,1.3
nete,fs,b5,8.3,30,2.2,3.3,12.6,12.6,124,0.41,0.67,0.58,1.37,0.8,0.92
nete,fs,b5,8.3,30,2.7,3,12.6,12.6,124,0.41,0.38,0.44,1.03,0.51,0.9
arpu9,fs,b5,20,78,4.2,3.5,64,50,81,0.83,1.13,1.18,0.95,0.8,1
arpu9,fs,b5,20,78,3.5,3.4,64,52,81,1.09,1.03,0.88,1.15,0.85,1.14
arpu9,fs,b5,20,78,3,4,36.5,46,81,1.08,0.94,1.1,0.9,0.9,1.3
sesc2,fs,b5,2,56.5,7.5,6,31.5,33.5,80,1.66,1.97,0.98,2.07,1.19,1.5
sesc2,fs,b5,2,56.5,8.1,5.5,22.5,33,80,1.26,2.06,1.8,1.64,1.26,1.32
sesc2,fs,b5,2,56.5,8,5.5,36.5,35,80,1.19,1.61,1.63,2.01,0.9,1.32
bosa,fs,b5,8,70,6,6,54,35.5,46,1.26,1.46,1.05,1.19,1.08,1.19
bosa,fs,b5,8,70,6.2,5.6,53,34,46,1.3,1.32,1.11,1.53,0.73,0.8
bosa,fs,b5,8,70,5.9,5.5,43,53,46,1.19,1.27,1.03,1.2,0.91,1.12
dica8,s,b5,12.7,52.5,4,4.3,45,38,25,1.35,1.42,1.51,1.57,1.43,1.53
dica8,s,b5,12.7,52.5,4.7,3.8,45,41,25,1.31,1.28,1.27,1.49,1.18,1.23
dica8,s,b5,12.7,52.5,4.5,3.2,59,38,25,1.13,1.37,1.25,1.21,0.98,1.12
arpu9,s,b5,10,32.1,2,2.1,19,20,23,1.05,1.47,0.69,1.09,0.75,1.26
arpu9,s,b5,10,32.1,1.9,1.7,21,12,23,0.68,0.86,0.63,1.02,0.6,1.03
arpu9,s,b5,10,32.1,2.2,1.7,18,15,23,0.72,0.73,0.3,0.65,0.46,0.94
chla5,fs,b5,17,56.2,4,4.5,48,38,24,2.15,2.14,1.94,1.92,2.13,2.45
chla5,fs,b5,17,56.2,4.7,4.4,50.5,32,24,2.75,2.64,2.33,2.4,2.65,2.46
chla5,fs,b5,17,56.2,5.5,4.5,90,27,24,2.64,2.26,2.07,2.23,2.84,2.29
ante2,fs,b5,3.8,88,5.8,4.4,30,10.5,41,1.3,2.09,2.21,3.42,2.48,3.82
ante2,fs,b5,3.8,88,6,4.8,29,11,41,1,2.28,2.59,4.28,2.05,3.21
ante2,fs,b5,3.8,88,4.7,6.1,28,18,41,0.92,1.72,1.22,1.88,0.98,1.8
feru2,fs,b5,3.5,30,5,5.7,12.6,12.6,76,0.49,0.75,0.96,1.19,0.66,1.02
feru2,fs,b5,3.5,30,5.2,4,12.6,12.6,76,0.57,1.1,0.24,0.91,0.64,0.78
feru2,fs,b5,3.5,30,5.7,5.4,12.6,12.6,76,0.42,0.6,0.3,0.74,0.7,0.79
