"Plot Title: 100CM-180705"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 2247367, SEN S/N: 2247367)","Started (LGR S/N: 2247367)","Button Down (LGR S/N: 2247367)","Button Up (LGR S/N: 2247367)","Host Connected (LGR S/N: 2247367)","Stopped (LGR S/N: 2247367)","End Of File (LGR S/N: 2247367)"
179,07/05/18 12:17:24 PM,29.01,,,,,,
180,07/05/18 12:17:25 PM,29.01,,,,,,
181,07/05/18 12:17:26 PM,29.01,,,,,,
182,07/05/18 12:17:27 PM,29.01,,,,,,
183,07/05/18 12:17:28 PM,29.34,,,,,,
184,07/05/18 12:17:29 PM,29.01,,,,,,
185,07/05/18 12:17:30 PM,29.34,,,,,,
186,07/05/18 12:17:31 PM,29.01,,,,,,
187,07/05/18 12:17:32 PM,29.01,,,,,,
188,07/05/18 12:17:33 PM,29.34,,,,,,
189,07/05/18 12:17:34 PM,29.01,,,,,,
190,07/05/18 12:17:35 PM,29.34,,,,,,
191,07/05/18 12:17:36 PM,29.34,,,,,,
192,07/05/18 12:17:37 PM,29.34,,,,,,
193,07/05/18 12:17:38 PM,29.34,,,,,,
194,07/05/18 12:17:39 PM,29.34,,,,,,
195,07/05/18 12:17:40 PM,29.34,,,,,,
196,07/05/18 12:17:41 PM,29.34,,,,,,
197,07/05/18 12:17:42 PM,29.34,,,,,,
198,07/05/18 12:17:43 PM,29.34,,,,,,
199,07/05/18 12:17:44 PM,29.34,,,,,,
200,07/05/18 12:17:45 PM,29.34,,,,,,
201,07/05/18 12:17:46 PM,29.34,,,,,,
202,07/05/18 12:17:47 PM,29.34,,,,,,
203,07/05/18 12:17:48 PM,29.34,,,,,,
204,07/05/18 12:17:49 PM,29.01,,,,,,
205,07/05/18 12:17:50 PM,29.34,,,,,,
206,07/05/18 12:17:51 PM,29.67,,,,,,
207,07/05/18 12:17:52 PM,29.34,,,,,,
208,07/05/18 12:17:53 PM,29.34,,,,,,
209,07/05/18 12:17:54 PM,29.67,,,,,,
210,07/05/18 12:17:55 PM,29.34,,,,,,
211,07/05/18 12:17:56 PM,29.67,,,,,,
212,07/05/18 12:17:57 PM,29.34,,,,,,
213,07/05/18 12:17:58 PM,29.67,,,,,,
214,07/05/18 12:17:59 PM,29.67,,,,,,
215,07/05/18 12:18:00 PM,29.34,,,,,,
216,07/05/18 12:18:01 PM,29.67,,,,,,
217,07/05/18 12:18:02 PM,29.67,,,,,,
218,07/05/18 12:18:03 PM,29.34,,,,,,
219,07/05/18 12:18:04 PM,29.34,,,,,,
220,07/05/18 12:18:05 PM,29.67,,,,,,
221,07/05/18 12:18:06 PM,29.34,,,,,,
222,07/05/18 12:18:07 PM,29.67,,,,,,
223,07/05/18 12:18:08 PM,29.34,,,,,,
224,07/05/18 12:18:09 PM,29.34,,,,,,
225,07/05/18 12:18:10 PM,29.34,,,,,,
226,07/05/18 12:18:11 PM,29.67,,,,,,
227,07/05/18 12:18:12 PM,29.67,,,,,,
228,07/05/18 12:18:13 PM,29.67,,,,,,
229,07/05/18 12:18:14 PM,29.34,,,,,,
230,07/05/18 12:18:15 PM,29.34,,,,,,
231,07/05/18 12:18:16 PM,29.34,,,,,,
232,07/05/18 12:18:17 PM,29.67,,,,,,
233,07/05/18 12:18:18 PM,29.34,,,,,,
234,07/05/18 12:18:19 PM,29.67,,,,,,
235,07/05/18 12:18:20 PM,29.67,,,,,,
236,07/05/18 12:18:21 PM,29.67,,,,,,
237,07/05/18 12:18:22 PM,29.67,,,,,,
238,07/05/18 12:18:23 PM,29.67,,,,,,
239,07/05/18 12:18:24 PM,29.34,,,,,,
240,07/05/18 12:18:25 PM,29.67,,,,,,
241,07/05/18 12:18:26 PM,29.34,,,,,,
242,07/05/18 12:18:27 PM,29.67,,,,,,
243,07/05/18 12:18:28 PM,29.67,,,,,,
244,07/05/18 12:18:29 PM,29.34,,,,,,
245,07/05/18 12:18:30 PM,29.34,,,,,,
246,07/05/18 12:18:31 PM,29.34,,,,,,
247,07/05/18 12:18:32 PM,29.34,,,,,,
248,07/05/18 12:18:33 PM,29.67,,,,,,
249,07/05/18 12:18:34 PM,29.67,,,,,,
250,07/05/18 12:18:35 PM,29.67,,,,,,
251,07/05/18 12:18:36 PM,29.67,,,,,,
252,07/05/18 12:18:37 PM,29.34,,,,,,
253,07/05/18 12:18:38 PM,29.67,,,,,,
254,07/05/18 12:18:39 PM,29.67,,,,,,
255,07/05/18 12:18:40 PM,29.67,,,,,,
256,07/05/18 12:18:41 PM,29.67,,,,,,
257,07/05/18 12:18:42 PM,29.67,,,,,,
258,07/05/18 12:18:43 PM,29.67,,,,,,
259,07/05/18 12:18:44 PM,29.67,,,,,,
260,07/05/18 12:18:45 PM,29.67,,,,,,
261,07/05/18 12:18:46 PM,29.67,,,,,,
262,07/05/18 12:18:47 PM,29.67,,,,,,
263,07/05/18 12:18:48 PM,29.67,,,,,,
264,07/05/18 12:18:49 PM,29.67,,,,,,
265,07/05/18 12:18:50 PM,29.67,,,,,,
266,07/05/18 12:18:51 PM,29.67,,,,,,
267,07/05/18 12:18:52 PM,29.67,,,,,,
268,07/05/18 12:18:53 PM,29.67,,,,,,
269,07/05/18 12:18:54 PM,29.67,,,,,,
270,07/05/18 12:18:55 PM,29.67,,,,,,
271,07/05/18 12:18:56 PM,29.67,,,,,,
272,07/05/18 12:18:57 PM,29.67,,,,,,
273,07/05/18 12:18:58 PM,29.67,,,,,,
274,07/05/18 12:18:59 PM,29.67,,,,,,
275,07/05/18 12:19:00 PM,30.01,,,,,,
276,07/05/18 12:19:01 PM,30.01,,,,,,
277,07/05/18 12:19:02 PM,30.01,,,,,,
278,07/05/18 12:19:03 PM,30.01,,,,,,
279,07/05/18 12:19:04 PM,30.01,,,,,,
280,07/05/18 12:19:05 PM,30.01,,,,,,
281,07/05/18 12:19:06 PM,30.01,,,,,,
282,07/05/18 12:19:07 PM,30.01,,,,,,
283,07/05/18 12:19:08 PM,30.01,,,,,,
284,07/05/18 12:19:09 PM,30.01,,,,,,
285,07/05/18 12:19:10 PM,30.01,,,,,,
