"Plot Title: 100CM-190508"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 2247367, SEN S/N: 2247367)","Started (LGR S/N: 2247367)","Button Down (LGR S/N: 2247367)","Button Up (LGR S/N: 2247367)","Host Connected (LGR S/N: 2247367)","Stopped (LGR S/N: 2247367)","End Of File (LGR S/N: 2247367)"
151,05/08/19 09:20:26 AM,24.31,,,,,,
152,05/08/19 09:20:27 AM,24.31,,,,,,
153,05/08/19 09:20:28 AM,24.31,,,,,,
154,05/08/19 09:20:29 AM,24.31,,,,,,
155,05/08/19 09:20:30 AM,24.31,,,,,,
156,05/08/19 09:20:31 AM,24.31,,,,,,
157,05/08/19 09:20:32 AM,24.31,,,,,,
158,05/08/19 09:20:33 AM,24.31,,,,,,
159,05/08/19 09:20:34 AM,24.31,,,,,,
160,05/08/19 09:20:35 AM,24.31,,,,,,
161,05/08/19 09:20:36 AM,23.98,,,,,,
162,05/08/19 09:20:37 AM,24.31,,,,,,
163,05/08/19 09:20:38 AM,24.31,,,,,,
164,05/08/19 09:20:39 AM,24.31,,,,,,
165,05/08/19 09:20:40 AM,24.31,,,,,,
166,05/08/19 09:20:41 AM,24.31,,,,,,
167,05/08/19 09:20:42 AM,24.31,,,,,,
168,05/08/19 09:20:43 AM,24.31,,,,,,
169,05/08/19 09:20:44 AM,24.31,,,,,,
170,05/08/19 09:20:45 AM,24.31,,,,,,
171,05/08/19 09:20:46 AM,24.31,,,,,,
172,05/08/19 09:20:47 AM,24.31,,,,,,
173,05/08/19 09:20:48 AM,24.31,,,,,,
174,05/08/19 09:20:49 AM,24.31,,,,,,
175,05/08/19 09:20:50 AM,24.31,,,,,,
176,05/08/19 09:20:51 AM,24.31,,,,,,
177,05/08/19 09:20:52 AM,24.31,,,,,,
178,05/08/19 09:20:53 AM,24.31,,,,,,
179,05/08/19 09:20:54 AM,24.31,,,,,,
180,05/08/19 09:20:55 AM,24.31,,,,,,
181,05/08/19 09:20:56 AM,24.31,,,,,,
182,05/08/19 09:20:57 AM,24.31,,,,,,
183,05/08/19 09:20:58 AM,24.31,,,,,,
184,05/08/19 09:20:59 AM,24.31,,,,,,
185,05/08/19 09:21:00 AM,24.31,,,,,,
186,05/08/19 09:21:01 AM,24.31,,,,,,
187,05/08/19 09:21:02 AM,24.31,,,,,,
188,05/08/19 09:21:03 AM,24.31,,,,,,
189,05/08/19 09:21:04 AM,24.31,,,,,,
190,05/08/19 09:21:05 AM,24.31,,,,,,
191,05/08/19 09:21:06 AM,24.31,,,,,,
192,05/08/19 09:21:07 AM,24.31,,,,,,
193,05/08/19 09:21:08 AM,24.31,,,,,,
194,05/08/19 09:21:09 AM,24.31,,,,,,
195,05/08/19 09:21:10 AM,24.31,,,,,,
196,05/08/19 09:21:11 AM,24.31,,,,,,
197,05/08/19 09:21:12 AM,24.31,,,,,,
198,05/08/19 09:21:13 AM,24.31,,,,,,
199,05/08/19 09:21:14 AM,24.31,,,,,,
200,05/08/19 09:21:15 AM,24.31,,,,,,
201,05/08/19 09:21:16 AM,24.31,,,,,,
202,05/08/19 09:21:17 AM,24.31,,,,,,
203,05/08/19 09:21:18 AM,24.31,,,,,,
204,05/08/19 09:21:19 AM,24.31,,,,,,
205,05/08/19 09:21:20 AM,24.31,,,,,,
